id,tag_name,created_at
1,sunset,"2023-11-11 08:32:27"
2,photography,"2023-11-11 08:32:27"
3,sunrise,"2023-11-11 08:32:27"
4,landscape,"2023-11-11 08:32:27"
5,food,"2023-11-11 08:32:27"
6,foodie,"2023-11-11 08:32:27"
7,delicious,"2023-11-11 08:32:27"
8,beauty,"2023-11-11 08:32:27"
9,stunning,"2023-11-11 08:32:27"
10,dreamy,"2023-11-11 08:32:27"
11,lol,"2023-11-11 08:32:27"
12,happy,"2023-11-11 08:32:27"
13,fun,"2023-11-11 08:32:27"
14,style,"2023-11-11 08:32:27"
15,hair,"2023-11-11 08:32:27"
16,fashion,"2023-11-11 08:32:27"
17,party,"2023-11-11 08:32:27"
18,concert,"2023-11-11 08:32:27"
19,drunk,"2023-11-11 08:32:27"
20,beach,"2023-11-11 08:32:27"
21,smile,"2023-11-11 08:32:27"
